layer,probe_method,train_dataset,eval_dataset,eval_type,model_name,grouped_accuracy
0,pca-g,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.4
0,pca-g,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.6
0,pca-g,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.7
0,pca-g,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.2
1,dim,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.4
1,dim,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.3
1,dim,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
1,dim,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.4
1,dim,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,1.0
1,dim,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.5
1,dim,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.3
1,lat,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
1,lat,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.4
1,lat,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
1,lat,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.3
1,lat,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.4
1,lat,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.6
1,lat,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.3
1,lr,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.4
1,lr,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.4
1,lr,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
1,lr,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.5
1,lr,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,1.0
1,lr,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.4
1,lr,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.2
1,pca-g,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
1,pca-g,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.3
1,pca-g,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
1,pca-g,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.4
1,pca-g,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.6
1,pca-g,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.8
1,pca-g,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.3
2,dim,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.4
2,dim,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.3
2,dim,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.6
2,dim,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.4
2,dim,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.8
2,dim,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.5
2,dim,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.2
2,lat,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.5
2,lat,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.4
2,lat,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
2,lat,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.3
2,lat,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.6
2,lat,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.1
2,lat,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.3
2,lr,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.4
2,lr,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.4
2,lr,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.3
2,lr,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.7
2,lr,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.8
2,lr,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.6
2,lr,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.4
2,pca-g,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
2,pca-g,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.4
2,pca-g,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
2,pca-g,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.4
2,pca-g,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.6
2,pca-g,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.6
2,pca-g,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.3
3,dim,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
3,dim,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.5
3,dim,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
3,dim,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.8
3,dim,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.8
3,dim,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.5
3,dim,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.3
3,lat,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.4
3,lat,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.2
3,lat,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
3,lat,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.2
3,lat,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.4
3,lat,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.3
3,lat,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.4
3,lr,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.5
3,lr,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.4
3,lr,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
3,lr,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.9
3,lr,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.8
3,lr,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.5
3,lr,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.3
3,pca-g,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.8
3,pca-g,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.4
3,pca-g,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
3,pca-g,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.5
3,pca-g,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.6
3,pca-g,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.5
3,pca-g,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.3
4,dim,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.3
4,dim,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.4
4,dim,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
4,dim,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.7
4,dim,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.8
4,dim,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.7
4,dim,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.3
4,lat,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
4,lat,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.2
4,lat,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
4,lat,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.3
4,lat,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.4
4,lat,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.3
4,lat,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
4,lr,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
4,lr,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.5
4,lr,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
4,lr,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.9
4,lr,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.8
4,lr,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.4
4,lr,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.4
4,pca-g,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.4
4,pca-g,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.5
4,pca-g,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
4,pca-g,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.4
4,pca-g,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.4
4,pca-g,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.7
4,pca-g,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.4
5,dim,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.3
5,dim,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.4
5,dim,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
5,dim,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.8
5,dim,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.8
5,dim,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.6
5,dim,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.4
5,lat,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
5,lat,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.2
5,lat,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
5,lat,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.4
5,lat,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.6
5,lat,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.4
5,lat,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
5,lr,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
5,lr,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.5
5,lr,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
5,lr,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.9
5,lr,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,1.0
5,lr,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.5
5,lr,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.4
5,pca-g,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
5,pca-g,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.2
5,pca-g,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
5,pca-g,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.1
5,pca-g,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.4
5,pca-g,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.3
5,pca-g,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.2
6,dim,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.3
6,dim,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.4
6,dim,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.7
6,dim,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.8
6,dim,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,1.0
6,dim,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.7
6,dim,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.3
6,lat,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
6,lat,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.3
6,lat,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
6,lat,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.1
6,lat,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.6
6,lat,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.3
6,lat,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
6,lr,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
6,lr,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.6
6,lr,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.6
6,lr,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.9
6,lr,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,1.0
6,lr,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.7
6,lr,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.4
6,pca-g,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
6,pca-g,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.2
6,pca-g,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
6,pca-g,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.1
6,pca-g,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.6
6,pca-g,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.4
6,pca-g,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
7,dim,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
7,dim,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.5
7,dim,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.6
7,dim,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.9
7,dim,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.8
7,dim,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.7
7,dim,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.4
7,lat,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
7,lat,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.3
7,lat,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
7,lat,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.1
7,lat,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.8
7,lat,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.3
7,lat,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
7,lr,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
7,lr,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.6
7,lr,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
7,lr,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.9
7,lr,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,1.0
7,lr,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.7
7,lr,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.2
7,pca-g,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
7,pca-g,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.2
7,pca-g,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
7,pca-g,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.1
7,pca-g,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.2
7,pca-g,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.5
7,pca-g,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
8,dim,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
8,dim,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.6
8,dim,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
8,dim,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.9
8,dim,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,1.0
8,dim,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.6
8,dim,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
8,lat,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
8,lat,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.3
8,lat,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
8,lat,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.1
8,lat,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.8
8,lat,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.4
8,lat,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
8,lr,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
8,lr,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.8
8,lr,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
8,lr,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.9
8,lr,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,1.0
8,lr,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.6
8,lr,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
8,pca-g,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
8,pca-g,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.1
8,pca-g,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
8,pca-g,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.1
8,pca-g,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.6
8,pca-g,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.5
8,pca-g,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
9,dim,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
9,dim,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.5
9,dim,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
9,dim,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.9
9,dim,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,1.0
9,dim,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.5
9,dim,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
9,lat,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
9,lat,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.2
9,lat,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
9,lat,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.1
9,lat,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.8
9,lat,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.2
9,lat,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
9,lr,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
9,lr,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.6
9,lr,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
9,lr,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.9
9,lr,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,1.0
9,lr,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.5
9,lr,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
9,pca-g,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
9,pca-g,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.1
9,pca-g,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
9,pca-g,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.1
9,pca-g,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.6
9,pca-g,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.5
9,pca-g,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
10,dim,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
10,dim,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.6
10,dim,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
10,dim,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.9
10,dim,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,1.0
10,dim,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.7
10,dim,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.2
10,lat,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
10,lat,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.4
10,lat,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
10,lat,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.2
10,lat,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.6
10,lat,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.3
10,lat,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
10,lr,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
10,lr,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.5
10,lr,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
10,lr,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.9
10,lr,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,1.0
10,lr,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.6
10,lr,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
10,pca-g,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
10,pca-g,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.1
10,pca-g,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
10,pca-g,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.0
10,pca-g,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.6
10,pca-g,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.5
10,pca-g,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
11,dim,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
11,dim,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.7
11,dim,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
11,dim,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.9
11,dim,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,1.0
11,dim,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.7
11,dim,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.2
11,lat,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
11,lat,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.4
11,lat,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
11,lat,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.2
11,lat,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.6
11,lat,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.5
11,lat,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
11,lr,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
11,lr,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.6
11,lr,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
11,lr,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.9
11,lr,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,1.0
11,lr,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.6
11,lr,dbpedia_14,truthful_qa,out_of_distribution,microsoft/phi-2,0.1
11,pca-g,dbpedia_14,amazon_polarity,out_of_distribution,microsoft/phi-2,0.6
11,pca-g,dbpedia_14,arc_easy,out_of_distribution,microsoft/phi-2,0.2
11,pca-g,dbpedia_14,boolq,out_of_distribution,microsoft/phi-2,0.5
11,pca-g,dbpedia_14,dbpedia_14,in_distribution,microsoft/phi-2,0.0
11,pca-g,dbpedia_14,facts,out_of_distribution,microsoft/phi-2,0.4
11,pca-g,dbpedia_14,repeng_truthful,out_of_distribution,microsoft/phi-2,0.5
