train_dataset,eval_dataset,probe_method,model_name,layer,requested_layer,grouped_accuracy
boolq,arc_easy,lat,microsoft/phi-2,18,18,0.3
boolq,boolq,lat,microsoft/phi-2,18,18,0.5
boolq,dbpedia_14,lat,microsoft/phi-2,18,18,0.2
boolq,facts,lat,microsoft/phi-2,18,18,0.0
boolq,repeng_truthful,lat,microsoft/phi-2,18,18,0.3
boolq,truthful_qa,lat,microsoft/phi-2,18,18,0.5
dbpedia_14,amazon_polarity,lat,microsoft/phi-2,18,18,0.4
dbpedia_14,arc_easy,lat,microsoft/phi-2,18,18,0.4
dbpedia_14,boolq,lat,microsoft/phi-2,18,18,0.6
dbpedia_14,dbpedia_14,lat,microsoft/phi-2,18,18,0.3
dbpedia_14,facts,lat,microsoft/phi-2,18,18,0.8
dbpedia_14,repeng_truthful,lat,microsoft/phi-2,18,18,0.9
dbpedia_14,truthful_qa,lat,microsoft/phi-2,18,18,0.4
facts,amazon_polarity,lat,microsoft/phi-2,18,18,1.0
facts,arc_easy,lat,microsoft/phi-2,18,18,0.9
facts,boolq,lat,microsoft/phi-2,18,18,0.7
facts,dbpedia_14,lat,microsoft/phi-2,18,18,0.9
facts,facts,lat,microsoft/phi-2,18,18,1.0
facts,repeng_truthful,lat,microsoft/phi-2,18,18,0.9
facts,truthful_qa,lat,microsoft/phi-2,18,18,0.3
repeng_truthful,amazon_polarity,lat,microsoft/phi-2,18,18,1.0
repeng_truthful,arc_easy,lat,microsoft/phi-2,18,18,0.9
repeng_truthful,boolq,lat,microsoft/phi-2,18,18,0.6
repeng_truthful,dbpedia_14,lat,microsoft/phi-2,18,18,0.9
repeng_truthful,facts,lat,microsoft/phi-2,18,18,1.0
repeng_truthful,repeng_truthful,lat,microsoft/phi-2,18,18,1.0
repeng_truthful,truthful_qa,lat,microsoft/phi-2,18,18,0.4
truthful_qa,amazon_polarity,lat,microsoft/phi-2,18,18,1.0
truthful_qa,arc_easy,lat,microsoft/phi-2,18,18,0.9
truthful_qa,boolq,lat,microsoft/phi-2,18,18,0.7
truthful_qa,dbpedia_14,lat,microsoft/phi-2,18,18,0.9
truthful_qa,facts,lat,microsoft/phi-2,18,18,1.0
truthful_qa,repeng_truthful,lat,microsoft/phi-2,18,18,0.8
truthful_qa,truthful_qa,lat,microsoft/phi-2,18,18,0.2
amazon_polarity,amazon_polarity,lr,microsoft/phi-2,18,18,1.0
amazon_polarity,arc_easy,lr,microsoft/phi-2,18,18,0.9
amazon_polarity,boolq,lr,microsoft/phi-2,18,18,0.8
amazon_polarity,dbpedia_14,lr,microsoft/phi-2,18,18,0.9
amazon_polarity,facts,lr,microsoft/phi-2,18,18,1.0
amazon_polarity,repeng_truthful,lr,microsoft/phi-2,18,18,1.0
amazon_polarity,truthful_qa,lr,microsoft/phi-2,18,18,0.3
arc_easy,amazon_polarity,lr,microsoft/phi-2,18,18,1.0
arc_easy,arc_easy,lr,microsoft/phi-2,18,18,0.9
arc_easy,boolq,lr,microsoft/phi-2,18,18,0.8
arc_easy,dbpedia_14,lr,microsoft/phi-2,18,18,0.9
arc_easy,facts,lr,microsoft/phi-2,18,18,1.0
arc_easy,repeng_truthful,lr,microsoft/phi-2,18,18,1.0
arc_easy,truthful_qa,lr,microsoft/phi-2,18,18,0.2
boolq,amazon_polarity,lr,microsoft/phi-2,18,18,0.8
boolq,arc_easy,lr,microsoft/phi-2,18,18,0.5
boolq,boolq,lr,microsoft/phi-2,18,18,0.8
boolq,dbpedia_14,lr,microsoft/phi-2,18,18,0.7
boolq,facts,lr,microsoft/phi-2,18,18,1.0
boolq,repeng_truthful,lr,microsoft/phi-2,18,18,0.1
boolq,truthful_qa,lr,microsoft/phi-2,18,18,0.2
dbpedia_14,amazon_polarity,lr,microsoft/phi-2,18,18,1.0
dbpedia_14,arc_easy,lr,microsoft/phi-2,18,18,0.9
dbpedia_14,boolq,lr,microsoft/phi-2,18,18,0.8
dbpedia_14,dbpedia_14,lr,microsoft/phi-2,18,18,0.9
dbpedia_14,facts,lr,microsoft/phi-2,18,18,1.0
dbpedia_14,repeng_truthful,lr,microsoft/phi-2,18,18,0.8
dbpedia_14,truthful_qa,lr,microsoft/phi-2,18,18,0.3
facts,amazon_polarity,lr,microsoft/phi-2,18,18,1.0
facts,arc_easy,lr,microsoft/phi-2,18,18,0.9
facts,boolq,lr,microsoft/phi-2,18,18,0.6
facts,dbpedia_14,lr,microsoft/phi-2,18,18,0.9
facts,facts,lr,microsoft/phi-2,18,18,1.0
facts,repeng_truthful,lr,microsoft/phi-2,18,18,0.8
facts,truthful_qa,lr,microsoft/phi-2,18,18,0.4
repeng_truthful,amazon_polarity,lr,microsoft/phi-2,18,18,1.0
repeng_truthful,arc_easy,lr,microsoft/phi-2,18,18,0.9
repeng_truthful,boolq,lr,microsoft/phi-2,18,18,0.8
repeng_truthful,dbpedia_14,lr,microsoft/phi-2,18,18,0.9
repeng_truthful,facts,lr,microsoft/phi-2,18,18,1.0
repeng_truthful,repeng_truthful,lr,microsoft/phi-2,18,18,1.0
repeng_truthful,truthful_qa,lr,microsoft/phi-2,18,18,0.3
truthful_qa,amazon_polarity,lr,microsoft/phi-2,18,18,0.7
truthful_qa,arc_easy,lr,microsoft/phi-2,18,18,0.4
truthful_qa,boolq,lr,microsoft/phi-2,18,18,0.7
truthful_qa,dbpedia_14,lr,microsoft/phi-2,18,18,0.8
truthful_qa,facts,lr,microsoft/phi-2,18,18,1.0
truthful_qa,repeng_truthful,lr,microsoft/phi-2,18,18,1.0
truthful_qa,truthful_qa,lr,microsoft/phi-2,18,18,0.8
amazon_polarity,amazon_polarity,pca-g,microsoft/phi-2,18,18,1.0
amazon_polarity,arc_easy,pca-g,microsoft/phi-2,18,18,0.9
amazon_polarity,boolq,pca-g,microsoft/phi-2,18,18,0.7
amazon_polarity,dbpedia_14,pca-g,microsoft/phi-2,18,18,0.9
amazon_polarity,facts,pca-g,microsoft/phi-2,18,18,1.0
amazon_polarity,repeng_truthful,pca-g,microsoft/phi-2,18,18,0.9
amazon_polarity,truthful_qa,pca-g,microsoft/phi-2,18,18,0.3
arc_easy,amazon_polarity,pca-g,microsoft/phi-2,18,18,1.0
arc_easy,arc_easy,pca-g,microsoft/phi-2,18,18,0.9
arc_easy,boolq,pca-g,microsoft/phi-2,18,18,0.7
arc_easy,dbpedia_14,pca-g,microsoft/phi-2,18,18,0.9
arc_easy,facts,pca-g,microsoft/phi-2,18,18,1.0
arc_easy,repeng_truthful,pca-g,microsoft/phi-2,18,18,0.8
arc_easy,truthful_qa,pca-g,microsoft/phi-2,18,18,0.3
boolq,amazon_polarity,pca-g,microsoft/phi-2,18,18,0.6
boolq,arc_easy,pca-g,microsoft/phi-2,18,18,0.2
boolq,boolq,pca-g,microsoft/phi-2,18,18,0.5
boolq,dbpedia_14,pca-g,microsoft/phi-2,18,18,0.1
boolq,facts,pca-g,microsoft/phi-2,18,18,0.2
boolq,repeng_truthful,pca-g,microsoft/phi-2,18,18,0.3
boolq,truthful_qa,pca-g,microsoft/phi-2,18,18,0.4
dbpedia_14,amazon_polarity,pca-g,microsoft/phi-2,18,18,1.0
dbpedia_14,arc_easy,pca-g,microsoft/phi-2,18,18,0.9
dbpedia_14,boolq,pca-g,microsoft/phi-2,18,18,0.7
dbpedia_14,dbpedia_14,pca-g,microsoft/phi-2,18,18,0.9
dbpedia_14,facts,pca-g,microsoft/phi-2,18,18,1.0
dbpedia_14,repeng_truthful,pca-g,microsoft/phi-2,18,18,1.0
dbpedia_14,truthful_qa,pca-g,microsoft/phi-2,18,18,0.4
facts,amazon_polarity,pca-g,microsoft/phi-2,18,18,1.0
facts,arc_easy,pca-g,microsoft/phi-2,18,18,0.9
facts,boolq,pca-g,microsoft/phi-2,18,18,0.7
facts,dbpedia_14,pca-g,microsoft/phi-2,18,18,0.9
facts,facts,pca-g,microsoft/phi-2,18,18,1.0
facts,repeng_truthful,pca-g,microsoft/phi-2,18,18,0.9
facts,truthful_qa,pca-g,microsoft/phi-2,18,18,0.3
repeng_truthful,amazon_polarity,pca-g,microsoft/phi-2,18,18,1.0
repeng_truthful,arc_easy,pca-g,microsoft/phi-2,18,18,0.9
repeng_truthful,boolq,pca-g,microsoft/phi-2,18,18,0.6
repeng_truthful,dbpedia_14,pca-g,microsoft/phi-2,18,18,0.9
repeng_truthful,facts,pca-g,microsoft/phi-2,18,18,1.0
repeng_truthful,repeng_truthful,pca-g,microsoft/phi-2,18,18,1.0
repeng_truthful,truthful_qa,pca-g,microsoft/phi-2,18,18,0.4
truthful_qa,amazon_polarity,pca-g,microsoft/phi-2,18,18,1.0
truthful_qa,arc_easy,pca-g,microsoft/phi-2,18,18,0.9
truthful_qa,boolq,pca-g,microsoft/phi-2,18,18,0.6
truthful_qa,dbpedia_14,pca-g,microsoft/phi-2,18,18,0.9
truthful_qa,facts,pca-g,microsoft/phi-2,18,18,1.0
truthful_qa,repeng_truthful,pca-g,microsoft/phi-2,18,18,0.8
truthful_qa,truthful_qa,pca-g,microsoft/phi-2,18,18,0.3
